parent_ID;order;title;links;description
1;1;SAPUI5 Curriculum Vitae Generator;https://github.com/a1sabau/openui5-cv-generator;"<p>Fullstack app written in <mark>Typescript</mark>. <br/> Uses <mark>npm workspaces</mark> for monorepo management. <br/> Frontend: <mark>SAP OpenUI5</mark>. <br/> Backend: <mark>SAP CAP</mark> with <mark>OData v2</mark>.</p>"
1;2;Node.js Web Scraper;https://github.com/get-set-fetch/scraper,https://getsetfetch.org/;"<p> Written in <mark>Typescript</mark>. Runs in <mark>Node.js</mark>. <br/> Contains a command line, <mark>Docker</mark> container, <mark>Terraform</mark> module and <mark>Ansible</mark> roles for distributed cloud scraping. <br/> Supported databases: <mark>SQLite</mark>, <mark>MySQL</mark>, <mark>PostgreSQL</mark>. <br/> Supported headless clients: <mark>Puppeteer</mark>, <mark>Playwright</mark>, <mark>Cheerio</mark>, <mark>JSdom</mark>. <br/> CI: <mark>Github Actions</mark>.  <br/> Documentation CDN: <mark>Cloudflare</mark>. </p>"
1;3;Web Scraping Browser Extension;https://github.com/get-set-fetch/extension,https://getsetfetch.org;"<p> Written in <mark>Typescript</mark> with class based <mark>React</mark> components. <br/> Uses <mark>Lerna</mark> for monorepo management. <br/> Cross-browser extension compatible with Firefox, Chrome, Edge. <br/> Uses <mark>IndexedDB</mark> browser builtin database for storage. <br/> CI: <mark>Github Actions</mark></p>"
